Geneid	1AS	1AW	1BS	1BW	1CS	1CW	1DS	1DW	2AS	2AW	2BS	2BW	2CS	2CW	2DS	2DW	3AS	3AW	3BS	3BW	3CS	3CW	3DS	3DW
evm.model.scf7180000355705.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.28	45	234	46	0	0	0	0	0	482	0	0	0	0	302	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000355705.32	63	374	83	0	0	0	0	0	919	0	0	0	0	559	0	0	0	0	0	0	0	0	8	0
evm.model.scf7180000355705.37	352	1992	325	0	0	0	0	0	2321	0	0	0	2	4033	0	0	0	0	0	0	0	0	44	0
evm.model.scf7180000355705.10	10	94	24	0	0	0	0	0	217	0	0	0	0	62	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000355705.11	253	1478	443	0	0	0	0	0	3204	0	0	0	0	1914	0	0	0	0	0	0	0	0	35	0
evm.model.scf7180000355705.31	75	597	160	0	0	0	0	0	1097	0	0	0	0	758	0	0	0	0	0	0	0	0	16	0
evm.model.scf7180000355705.5	21	99	18	0	0	0	0	0	276	0	0	0	0	148	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000355705.2	2	79	43	0	0	0	0	0	251	0	0	0	0	51	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000355705.12	2	30	5	0	0	0	0	0	44	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.15	198	1294	324	0	0	0	0	0	2721	0	0	0	0	1628	0	0	0	0	0	0	0	0	23	0
evm.model.scf7180000355705.26	15	62	22	0	0	0	0	0	178	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345752.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345752.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345752.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355120.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355120.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355120.1	5	100	44	0	0	0	0	0	344	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355120.2	56	404	143	0	0	0	0	0	887	0	0	0	0	456	0	0	0	0	0	0	0	0	7	0
evm.model.scf7180000355120.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000350437.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355726.3	36	318	88	0	0	0	0	0	591	0	0	0	0	485	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000355726.1	17	47	26	0	0	0	0	0	127	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355726.2	8	54	18	0	0	0	0	0	115	0	0	0	0	53	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000355330.4	23	73	18	0	0	0	0	0	115	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356187.1	16	134	63	0	0	0	0	0	352	0	0	0	0	151	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000353481.2	107	761	256	0	0	0	0	0	1704	0	0	0	0	1152	0	0	0	0	0	0	0	0	9	0
evm.model.scf7180000353481.11	1	16	5	0	0	0	0	0	44	0	0	0	0	21	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000353481.17	65	209	100	0	0	0	0	0	922	0	0	0	0	332	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000353481.24	38	173	74	0	0	0	0	0	454	0	0	0	0	122	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000353481.18	26	219	51	0	0	0	0	0	275	0	0	0	0	251	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000353481.3	2	65	21	0	0	0	0	0	91	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353481.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353481.23	14	126	25	0	0	0	0	0	234	0	0	0	0	91	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000353481.14	84	382	100	0	0	0	0	0	889	0	0	0	0	491	0	0	0	0	0	0	0	0	14	0
evm.model.scf7180000353481.4	5	87	23	0	0	0	0	0	180	0	0	0	0	94	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000353481.22	140	749	257	0	0	0	0	0	1906	0	0	0	0	975	0	0	0	0	0	0	0	0	20	0
evm.model.scf7180000353481.12	35	192	58	0	0	0	0	0	674	0	0	0	0	163	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000353481.15	76	855	200	0	0	0	0	0	1924	0	0	0	0	1208	0	0	0	0	0	0	0	0	12	0
evm.model.scf7180000353481.19	14	178	47	0	0	0	0	0	391	0	0	0	0	223	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000353481.13	8	52	26	0	0	0	0	0	141	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353481.8	27	278	76	0	0	0	0	0	582	0	0	0	0	291	0	0	0	0	0	0	0	0	10	0
evm.model.scf7180000353481.16	33	113	22	0	0	0	0	0	290	0	0	0	0	98	0	0	0	0	0	0	0	0	8	0
evm.model.scf7180000353481.5	23	145	70	0	0	0	0	0	379	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353481.7	8	59	16	0	0	0	0	0	141	0	0	0	0	102	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000353481.20	27	91	67	0	0	0	0	0	334	0	0	0	0	186	0	0	0	0	0	0	0	0	12	0
evm.model.scf7180000353481.10	66	434	111	0	0	0	0	0	966	0	0	0	0	476	0	0	0	0	0	1	0	0	4	0
evm.model.scf7180000353481.6	3	24	6	0	0	0	0	0	38	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353481.9	31	160	33	0	0	0	0	0	357	0	0	0	0	178	0	0	0	0	0	1	0	0	3	0
evm.model.scf7180000356894.1	15	96	29	0	0	0	0	0	293	0	0	0	0	93	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000356894.21	11	109	22	0	0	0	0	0	223	0	0	0	0	62	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000356894.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.15	49	165	53	0	0	0	0	0	445	0	0	0	0	292	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000356894.2	4	30	13	0	0	0	0	0	82	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.4	6	50	7	0	0	0	0	0	72	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.12	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.19	11	32	24	0	0	0	0	0	169	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.9	52	341	108	0	0	0	0	0	821	0	0	0	0	450	0	0	0	0	0	0	0	0	8	0
evm.model.scf7180000356894.13	41	251	63	0	0	0	0	0	349	0	0	0	0	291	0	0	0	1	0	0	0	0	8	0
evm.model.scf7180000356894.3	2	14	4	0	0	0	0	0	32	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.22	30	166	62	0	0	0	0	0	436	0	0	0	0	236	0	0	0	0	0	0	0	0	7	0
evm.model.scf7180000356894.14	0	6	3	0	0	0	0	0	13	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.11	3	6	2	0	0	0	0	0	19	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.6	3	74	31	0	0	0	0	0	178	0	0	0	0	83	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000356894.17	87	689	129	0	0	0	0	0	1035	0	0	0	0	754	0	0	0	0	0	0	0	0	10	0
evm.model.scf7180000356894.10	3	13	3	0	0	0	0	0	41	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.7	82	592	147	0	0	0	0	0	1344	0	0	0	0	720	0	0	0	0	0	0	0	0	10	0
evm.model.scf7180000356894.8	7	42	7	0	0	0	0	0	157	0	0	0	0	72	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000356894.16	41	322	142	0	0	0	0	0	766	0	0	0	0	349	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000350657.1	1	12	5	0	0	0	0	0	18	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000350657.2	51	346	65	0	0	0	0	0	607	0	0	0	0	311	0	0	0	0	0	0	0	0	4	0
