Geneid	1AS	1AW	1BS	1BW	1CS	1CW	1DS	1DW	2AS	2AW	2BS	2BW	2CS	2CW	2DS	2DW	3AS	3AW	3BS	3BW	3CS	3CW	3DS	3DW
evm.model.scf7180000353481.3	2	64	19	0	0	0	0	0	90	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353481.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353481.23	14	110	25	0	0	0	0	0	227	0	0	0	0	88	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000353481.14	74	350	92	0	0	0	0	0	819	0	0	0	0	460	0	0	0	0	0	0	0	0	14	0
evm.model.scf7180000353481.4	4	80	23	0	0	0	0	0	169	0	0	0	0	85	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000353481.22	134	693	237	0	0	0	0	0	1758	0	0	0	0	918	0	0	0	0	0	0	0	0	20	0
evm.model.scf7180000353481.12	34	175	54	0	0	0	0	0	598	0	0	0	0	155	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000353481.15	71	818	197	0	0	0	0	0	1811	0	0	0	0	1146	0	0	0	0	0	0	0	0	12	0
evm.model.scf7180000353481.19	14	166	44	0	0	0	0	0	352	0	0	0	0	183	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000353481.13	8	52	26	0	0	0	0	0	132	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353481.8	27	270	73	0	0	0	0	0	563	0	0	0	0	283	0	0	0	0	0	0	0	0	10	0
evm.model.scf7180000353481.16	33	95	16	0	0	0	0	0	251	0	0	0	0	80	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000353481.5	22	139	63	0	0	0	0	0	362	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353481.7	8	55	16	0	0	0	0	0	133	0	0	0	0	89	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000353481.20	27	88	60	0	0	0	0	0	309	0	0	0	0	176	0	0	0	0	0	0	0	0	11	0
evm.model.scf7180000353481.10	66	416	105	0	0	0	0	0	929	0	0	0	0	456	0	0	0	0	0	1	0	0	4	0
evm.model.scf7180000353481.6	3	24	6	0	0	0	0	0	34	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353481.9	31	147	29	0	0	0	0	0	328	0	0	0	0	171	0	0	0	0	0	1	0	0	3	0
evm.model.scf7180000356894.1	13	85	27	0	0	0	0	0	252	0	0	0	0	85	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000356894.21	6	55	11	0	0	0	0	0	112	0	0	0	0	31	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000356894.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.15	46	162	49	0	0	0	0	0	419	0	0	0	0	266	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000356894.2	3	17	8	0	0	0	0	0	47	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.4	6	47	7	0	0	0	0	0	71	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.12	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.19	6	16	12	0	0	0	0	0	86	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.9	42	310	95	0	0	0	0	0	718	0	0	0	0	394	0	0	0	0	0	0	0	0	7	0
evm.model.scf7180000356894.13	34	226	56	0	0	0	0	0	326	0	0	0	0	271	0	0	0	1	0	0	0	0	8	0
evm.model.scf7180000356894.3	1	5	1	0	0	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.22	29	157	60	0	0	0	0	0	425	0	0	0	0	231	0	0	0	0	0	0	0	0	7	0
evm.model.scf7180000356894.14	0	6	3	0	0	0	0	0	13	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.11	2	6	2	0	0	0	0	0	18	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.6	3	74	31	0	0	0	0	0	178	0	0	0	0	83	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000356894.17	79	637	121	0	0	0	0	0	979	0	0	0	0	731	0	0	0	0	0	0	0	0	10	0
evm.model.scf7180000356894.10	3	13	3	0	0	0	0	0	37	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356894.7	49	363	88	0	0	0	0	0	792	0	0	0	0	415	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000356894.8	6	34	5	0	0	0	0	0	137	0	0	0	0	61	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000356894.16	39	320	140	0	0	0	0	0	752	0	0	0	0	341	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000350657.1	1	8	5	0	0	0	0	0	18	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000350657.2	40	269	53	0	0	0	0	0	493	0	0	0	0	246	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000350657.3	18	79	18	0	0	0	0	0	181	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345827.1	0	6	4	0	0	0	0	0	16	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345827.2	3	19	4	0	0	0	0	0	49	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345827.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356798.2	7	76	19	0	0	0	0	0	180	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356798.1	10	68	17	0	0	0	0	0	146	0	0	0	0	69	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000355961.1	38	239	62	0	0	0	0	0	559	0	0	0	0	208	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000355961.3	4	34	7	0	0	0	0	0	75	0	0	0	0	110	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000355961.2	6	27	10	0	0	0	0	0	52	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354098.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354098.2	19	100	42	0	0	0	0	0	256	0	0	0	0	144	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000354098.3	38	180	56	0	0	0	0	0	444	0	0	0	0	297	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000355494.7	11	48	24	0	0	0	0	0	14	0	0	0	0	68	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000355494.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355494.4	108	866	235	0	0	0	0	0	1628	0	0	0	0	1025	0	0	0	0	0	0	0	0	36	0
evm.model.scf7180000355494.2	0	47	2	0	0	0	0	0	93	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355494.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355494.3	109	834	266	0	0	0	0	0	2076	0	0	0	0	957	0	0	0	0	0	0	0	0	19	0
evm.model.scf7180000355494.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345268.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345268.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345268.5	6	111	18	0	0	0	0	0	147	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356394.1	52	422	97	0	0	0	0	0	784	0	0	0	0	376	0	0	0	0	0	0	0	0	9	0
evm.model.scf7180000356394.7	6	39	24	0	0	0	0	0	71	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000356394.5	51	391	157	0	0	0	0	0	1042	0	0	0	0	359	0	0	0	0	0	0	0	0	16	0
evm.model.scf7180000356394.11	14	113	27	0	0	0	0	0	221	0	0	0	0	163	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000356394.2	1	8	2	0	0	0	0	0	19	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356394.3	1	5	4	0	0	0	0	0	34	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000356394.10	19	184	48	0	0	0	0	0	356	0	0	0	0	212	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000356394.9	3	37	8	0	0	0	0	0	84	0	0	0	0	41	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000356394.6	106	714	192	0	0	0	0	0	1597	0	0	0	0	731	0	0	0	0	0	0	0	0	9	0
evm.model.scf7180000356394.13	21	104	33	0	0	0	0	0	274	0	0	0	0	172	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000356394.4	0	20	3	0	0	0	0	0	28	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356394.12	47	302	81	0	0	0	0	0	619	0	0	0	0	405	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000354999.9	100	465	81	0	0	0	0	0	1446	0	0	0	0	405	0	0	0	0	0	0	0	0	11	0
evm.model.scf7180000354999.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354999.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354999.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354999.7	7	40	1	0	0	0	0	0	78	0	0	0	0	9	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000354999.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354999.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354999.8	10	55	3	0	0	0	0	0	174	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000349963.1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353311.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353311.2	71	371	129	0	0	0	0	0	927	0	0	0	0	488	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000353311.6	23	289	64	0	0	0	0	0	425	0	0	0	0	396	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000353311.9	23	277	105	0	0	0	0	0	592	0	0	0	0	287	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000348506.9	15	122	28	0	0	0	0	0	331	0	0	0	0	197	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000348506.3	54	507	127	0	0	0	0	0	1139	0	0	0	0	578	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000348506.8	127	920	181	0	0	0	0	0	1782	0	0	0	0	1241	0	0	0	0	0	0	0	0	18	0
evm.model.scf7180000348506.4	62	344	106	0	0	0	0	0	874	0	0	0	0	542	0	0	0	0	0	0	0	0	8	0
