Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
2DS_R2	2DS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54211740.0	8 Gbp	0.0	50-150	46.0	82.94083527648272	148.26798422260566	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
2DS_R2_001	2DS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55538755.0	8.3 Gbp	0.0	150.0	46.0	82.49348548855873	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	fail	pass
2DW_R1	2DW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55691279.0	8.2 Gbp	0.0	50-150	46.0	84.79183177984955	148.4793846088541	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
2DW_R1_001	2DW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56896224.0	8.5 Gbp	0.0	150.0	46.0	84.51285974114178	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
2DW_R2	2DW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55691279.0	8.2 Gbp	0.0	50-150	47.0	83.94688117880132	148.4203970068635	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
2DW_R2_001	2DW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56896224.0	8.5 Gbp	0.0	150.0	47.0	83.48210868282784	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
3AS_R1	3AS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55993112.0	8.3 Gbp	0.0	50-150	47.0	85.42239566097764	148.50043644654008	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
3AS_R1_001	3AS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57175714.0	8.5 Gbp	0.0	150.0	47.0	85.12851231528661	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
3AS_R2	3AS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55993112.0	8.3 Gbp	0.0	50-150	48.0	84.43520821984755	148.42313561710947	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
3AS_R2_001	3AS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57175714.0	8.5 Gbp	0.0	150.0	47.0	83.99126242063436	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
