ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust
ko05222,ko05222,7/137,126/5653,0.03267119405207201,2.4414155520007137,7,126,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.1335257496041204
ko00512,ko00512,3/137,30/5653,0.035085920042303896,4.548496237009419,3,30,Montipora_capitata_HIv3___RNAseq.g3374.t1/Montipora_capitata_HIv3___RNAseq.g44539.t1/Montipora_capitata_HIv3___RNAseq.g45417.t1,0.13741985349902358
ko00564,ko00564,6/137,105/5653,0.04140638015068755,2.5056485747415937,6,105,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g49841.t1/Montipora_capitata_HIv3___RNAseq.g6934.t1/Montipora_capitata_HIv3___RNAseq.g44719.t1/Montipora_capitata_HIv3___RNAseq.g8867.t2,0.15568798936658518
ko01110,ko01110,15/137,384/5653,0.044018403161266324,1.7147717471512076,15,384,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g36845.t1/Montipora_capitata_HIv3___RNAseq.g30230.t1/Montipora_capitata_HIv3___RNAseq.g50598.t1/Montipora_capitata_HIv3___RNAseq.g27709.t1/Montipora_capitata_HIv3___TS.g28822.t2/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g14515.t1/Montipora_capitata_HIv3___RNAseq.g49841.t1/Montipora_capitata_HIv3___TS.g6904.t1/Montipora_capitata_HIv3___RNAseq.g39974.t1/Montipora_capitata_HIv3___RNAseq.g14956.t1/Montipora_capitata_HIv3___RNAseq.g14960.t1/Montipora_capitata_HIv3___RNAseq.24234_t/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.15637809861282145
ko01523,ko01523,5/137,81/5653,0.04595333133696161,2.7103999915538637,5,81,Montipora_capitata_HIv3___RNAseq.g40427.t1a/Montipora_capitata_HIv3___RNAseq.g8250.t1b/Montipora_capitata_HIv3___TS.g4674.t2b/Montipora_capitata_HIv3___TS.g33523.t1/Montipora_capitata_HIv3___RNAseq.g37354.t1,0.15637809861282145
ko04612,ko04612,3/137,34/5653,0.04824430701884917,3.9593844530728886,3,34,Montipora_capitata_HIv3___RNAseq.g29851.t1/Montipora_capitata_HIv3___RNAseq.g15043.t1/Montipora_capitata_HIv3___TS.g46166.t1,0.15637809861282145
ko04977,ko04977,3/137,34/5653,0.04824430701884917,3.9593844530728886,3,34,Montipora_capitata_HIv3___RNAseq.g39535.t1/Montipora_capitata_HIv3___TS.g7322.t1/Montipora_capitata_HIv3___RNAseq.g39525.t1,0.15637809861282145
ko05145,ko05145,5/137,86/5653,0.056844437438562316,2.5409636946073544,5,86,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.17489967548933402
ko04214,ko04214,6/137,114/5653,0.057679680214567604,2.292964358890531,6,114,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.17489967548933402
ko03440,ko03440,4/137,64/5653,0.06876482036849094,2.734027367374945,4,64,Montipora_capitata_HIv3___RNAseq.g29792.t1/Montipora_capitata_HIv3___RNAseq.g658.t1/Montipora_capitata_HIv3___RNAseq.g43161.t1a/Montipora_capitata_HIv3___RNAseq.g35504.t1,0.20199665983244214
ko04010,ko04010,10/137,245/5653,0.0727014276841011,1.7692438715676568,10,245,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g5395.t1/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.2056510559285255
ko04540,ko04540,5/137,93/5653,0.07438442448478583,2.3358968264072084,5,93,Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___TS.g4674.t2b/Montipora_capitata_HIv3___RNAseq.g13826.t1/Montipora_capitata_HIv3___RNAseq.g23464.t1/Montipora_capitata_HIv3___TS.g21895.t1,0.2056510559285255
ko05133,ko05133,5/137,95/5653,0.0798822408586548,2.283126687926301,5,95,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.21406656213661956
ko03460,ko03460,4/137,68/5653,0.08198293869062026,2.5613567176708147,4,68,Montipora_capitata_HIv3___RNAseq.g29792.t1/Montipora_capitata_HIv3___RNAseq.g15186.t1/Montipora_capitata_HIv3___RNAseq.g43161.t1a/Montipora_capitata_HIv3___RNAseq.g35504.t1,0.21406656213661956
ko05152,ko05152,7/137,158/5653,0.08816320765998187,1.9128648921421154,7,158,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g2640.t1a/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g46378.t1/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.22398220324427826
ko00982,ko00982,3/137,45/5653,0.09469535650877971,2.9169442479179444,3,45,Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g37645.t1/Montipora_capitata_HIv3___RNAseq.g9561.t1,0.23424640820592876
ko05200,ko05200,16/137,468/5653,0.0997926502510942,1.481329374317667,16,468,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g15043.t1/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g35008.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___TS.g10359.t4b/Montipora_capitata_HIv3___RNAseq.g16025.t1/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.24052587496417574
ko04727,ko04727,4/137,75/5653,0.1078704547191721,2.305956016663401,4,75,Montipora_capitata_HIv3___TS.g4543.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___RNAseq.g50166.t1/Montipora_capitata_HIv3___RNAseq.g23366.t1,0.25349556859005445
ko04210,ko04210,6/137,139/5653,0.12045012845153483,1.853543608636505,6,139,Montipora_capitata_HIv3___RNAseq.g29851.t1/Montipora_capitata_HIv3___TS.g46166.t1/Montipora_capitata_HIv3___TS.g4674.t2b/Montipora_capitata_HIv3___RNAseq.g13826.t1/Montipora_capitata_HIv3___TS.g21895.t1/Montipora_capitata_HIv3___TS.g47027.t2,0.27615395303522616
ko04972,ko04972,5/137,110/5653,0.12767814651218357,1.951708633164484,5,110,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g33991.t1/Montipora_capitata_HIv3___RNAseq.g33992.t1/Montipora_capitata_HIv3___RNAseq.g668.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1,0.2857558517177442
ko00590,ko00590,4/137,85/5653,0.1503258603181419,2.0176581258667245,4,85,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g30993.t1/Montipora_capitata_HIv3___RNAseq.g37645.t1,0.3286193225559381
ko05169,ko05169,7/137,187/5653,0.16742394823901674,1.5960613653661957,7,187,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.35767843487426304
ko05205,ko05205,8/137,234/5653,0.2062176541846826,1.4514718270469191,8,234,Montipora_capitata_HIv3___RNAseq.g29851.t1/Montipora_capitata_HIv3___RNAseq.g35008.t1/Montipora_capitata_HIv3___TS.g46166.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1/Montipora_capitata_HIv3___TS.g10359.t4b,0.42292961346269187
ko04726,ko04726,5/137,130/5653,0.206965555524296,1.6334470903487897,5,130,Montipora_capitata_HIv3___RNAseq.g50598.t1/Montipora_capitata_HIv3___RNAseq.g30993.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___RNAseq.g23464.t1/Montipora_capitata_HIv3___RNAseq.g23366.t1,0.42292961346269187
ko04976,ko04976,4/137,98/5653,0.21326037199727021,1.734539836897168,4,98,Montipora_capitata_HIv3___RNAseq.g49895.t2/Montipora_capitata_HIv3___RNAseq.g8250.t1b/Montipora_capitata_HIv3___TS.g4674.t2b/Montipora_capitata_HIv3___RNAseq.g37354.t1,0.42652074399454043
ko05130,ko05130,3/137,67/5653,0.22094014911084223,1.9069064475380446,3,67,Montipora_capitata_HIv3___TS.g4674.t2b/Montipora_capitata_HIv3___RNAseq.g13826.t1/Montipora_capitata_HIv3___TS.g21895.t1,0.42742469058638427
ko04740,ko04740,4/137,100/5653,0.22354634687183383,1.6977851787712455,4,100,Montipora_capitata_HIv3___RNAseq.g2796.t1/Montipora_capitata_HIv3___RNAseq.g47210.t1/Montipora_capitata_HIv3___TS.g28207.t1a/Montipora_capitata_HIv3___RNAseq.g47211.t1,0.42742469058638427
ko02010,ko02010,3/137,68/5653,0.22735355882254485,1.877254385958757,3,68,Montipora_capitata_HIv3___RNAseq.g8250.t1b/Montipora_capitata_HIv3___TS.g4674.t2b/Montipora_capitata_HIv3___RNAseq.g37354.t1,0.42742469058638427
ko04144,ko04144,8/137,255/5653,0.2768602474291644,1.3228382298497863,8,255,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___TS.g33523.t1/Montipora_capitata_HIv3___RNAseq.g15029.t1b/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.5102914364380676
ko04066,ko04066,3/137,81/5653,0.31305434013919814,1.5606752003228053,3,81,Montipora_capitata_HIv3___RNAseq.g30230.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1,0.5659059225593197
ko04919,ko04919,4/137,118/5653,0.32057404989050486,1.4250155377053528,4,118,Montipora_capitata_HIv3___RNAseq.g40983.t1/Montipora_capitata_HIv3___RNAseq.g24836.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1,0.56742197699899
