ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust,TERM,ONTOLOGY
GO:0001959,regulation of cytokine-mediated signaling pathway,3/164,53/8363,0.08525320453523673,3.0361451276189007,3,53,Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g32149.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.47037382822850843,regulation of cytokine-mediated signaling pathway,BP
GO:0001892,embryonic placenta development,3/164,53/8363,0.08525320453523673,3.0361451276189007,3,53,Montipora_capitata_HIv3___RNAseq.g35008.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1,0.47037382822850843,embryonic placenta development,BP
GO:0030500,regulation of bone mineralization,3/164,53/8363,0.08525320453523673,3.0361451276189007,3,53,Montipora_capitata_HIv3___RNAseq.g46378.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1,0.47037382822850843,regulation of bone mineralization,BP
GO:0046662,regulation of egg-laying behavior,3/164,53/8363,0.08525320453523673,3.0361451276189007,3,53,Montipora_capitata_HIv3___RNAseq.g24942.t1/Montipora_capitata_HIv3___RNAseq.g49962.t1/Montipora_capitata_HIv3___RNAseq.g23464.t1,0.47037382822850843,regulation of egg-laying behavior,BP
GO:0051101,regulation of DNA binding,4/164,85/8363,0.08536084595451192,2.5051226087109764,4,85,Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g41333.t1/Montipora_capitata_HIv3___RNAseq.g15029.t1b,0.47037382822850843,regulation of DNA binding,BP
GO:0014020,primary neural tube formation,4/164,85/8363,0.08536084595451192,2.5051226087109764,4,85,Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___TS.g33523.t1,0.47037382822850843,primary neural tube formation,BP
GO:0072507,GO:0072507,9/164,272/8363,0.08655988202331963,1.7519365742566209,9,272,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g33991.t1/Montipora_capitata_HIv3___TS.g27540.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g33992.t1/Montipora_capitata_HIv3___RNAseq.g36907.t1/Montipora_capitata_HIv3___RNAseq.g46378.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1,0.473023248675824,NA,NA
GO:0006644,phospholipid metabolic process,9/164,273/8363,0.08807680146100758,1.7450815542127454,9,273,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g33449.t1/Montipora_capitata_HIv3___TS.g50674.t1/Montipora_capitata_HIv3___RNAseq.g6934.t1/Montipora_capitata_HIv3___RNAseq.g44719.t1/Montipora_capitata_HIv3___RNAseq.g8867.t2/Montipora_capitata_HIv3___RNAseq.g44445.t1,0.473023248675824,phospholipid metabolic process,BP
GO:0072001,renal system development,9/164,273/8363,0.08807680146100758,1.7450815542127454,9,273,Montipora_capitata_HIv3___RNAseq.g2559.t1a/Montipora_capitata_HIv3___RNAseq.g22865.t1/Montipora_capitata_HIv3___RNAseq.g7741.t1/Montipora_capitata_HIv3___RNAseq.g668.t1/Montipora_capitata_HIv3___RNAseq.g18698.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g42092.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.473023248675824,renal system development,BP
GO:0032101,regulation of response to external stimulus,13/164,438/8363,0.08856099399874776,1.5746671185136842,13,438,Montipora_capitata_HIv3___RNAseq.g6978.t1/Montipora_capitata_HIv3___TS.g1118.t1/Montipora_capitata_HIv3___RNAseq.g15043.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g46378.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g30678.t1b/Montipora_capitata_HIv3___RNAseq.g24020.t1/Montipora_capitata_HIv3___TS.g10359.t4b/Montipora_capitata_HIv3___RNAseq.g14488.t1/Montipora_capitata_HIv3___TS.g47745.t1,0.473023248675824,regulation of response to external stimulus,BP
GO:0031214,biomineral tissue development,3/164,54/8363,0.08902757319072759,2.9762691858869323,3,54,Montipora_capitata_HIv3___RNAseq.g46378.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g33449.t1,0.473023248675824,biomineral tissue development,BP
GO:0072384,organelle transport along microtubule,3/164,54/8363,0.08902757319072759,2.9762691858869323,3,54,Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g42740.t1/Montipora_capitata_HIv3___RNAseq.g1174.t1,0.473023248675824,organelle transport along microtubule,BP
GO:0004252,serine-type endopeptidase activity,3/164,54/8363,0.08902757319072759,2.9762691858869323,3,54,Montipora_capitata_HIv3___RNAseq.g20807.t2/Montipora_capitata_HIv3___RNAseq.g14625.t1/Montipora_capitata_HIv3___RNAseq.g39706.t2,0.473023248675824,serine-type endopeptidase activity,MF
GO:0022625,cytosolic large ribosomal subunit,3/164,54/8363,0.08902757319072759,2.9762691858869323,3,54,Montipora_capitata_HIv3___RNAseq.g27546.t1/Montipora_capitata_HIv3___RNAseq.g43111.t1/Montipora_capitata_HIv3___RNAseq.g11658.t1,0.473023248675824,cytosolic large ribosomal subunit,CC
GO:0045089,positive regulation of innate immune response,5/164,121/8363,0.08903167787239814,2.1909743938225503,5,121,Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g44445.t1/Montipora_capitata_HIv3___TS.g47745.t1,0.473023248675824,positive regulation of innate immune response,BP
GO:0006875,GO:0006875,10/164,314/8363,0.08907009009740749,1.6862491439795797,10,314,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g33991.t1/Montipora_capitata_HIv3___TS.g27540.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g33992.t1/Montipora_capitata_HIv3___RNAseq.g38848.t1/Montipora_capitata_HIv3___RNAseq.g36907.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1,0.473023248675824,NA,NA
GO:0055065,GO:0055065,11/164,355/8363,0.08912032221428569,1.641550101442718,11,355,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g33991.t1/Montipora_capitata_HIv3___TS.g27540.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g33992.t1/Montipora_capitata_HIv3___RNAseq.g38848.t1/Montipora_capitata_HIv3___RNAseq.g36907.t1/Montipora_capitata_HIv3___RNAseq.g46378.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1,0.473023248675824,NA,NA
GO:0010921,regulation of phosphatase activity,4/164,87/8363,0.09113814194157463,2.444027448558827,4,87,Montipora_capitata_HIv3___RNAseq.g15043.t1/Montipora_capitata_HIv3___RNAseq.g41637.t1/Montipora_capitata_HIv3___RNAseq.g37193.t1/Montipora_capitata_HIv3___RNAseq.g36907.t1,0.480519040735146,regulation of phosphatase activity,BP
