ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust,TERM,ONTOLOGY
GO:0002443,leukocyte mediated immunity,4/79,353/8363,0.42917190103949054,1.2125753254073974,4,353,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g44519.t1/Montipora_capitata_HIv3___RNAseq.g18698.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.9980232391306181,leukocyte mediated immunity,BP
GO:0043226,organelle,64/79,6646/8363,0.4305933938587284,1.1032788645573859,64,6646,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g6978.t1/Montipora_capitata_HIv3___RNAseq.g36845.t1/Montipora_capitata_HIv3___RNAseq.g2559.t1a/Montipora_capitata_HIv3___RNAseq.g26525.t1/Montipora_capitata_HIv3___RNAseq.g35299.t1/Montipora_capitata_HIv3___RNAseq.g12807.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g44519.t1/Montipora_capitata_HIv3___RNAseq.g50691.t1/Montipora_capitata_HIv3___RNAseq.g3374.t1/Montipora_capitata_HIv3___RNAseq.g42608.t1/Montipora_capitata_HIv3___RNAseq.g39887.t1/Montipora_capitata_HIv3___RNAseq.g12736.t1/Montipora_capitata_HIv3___RNAseq.g44539.t1/Montipora_capitata_HIv3___RNAseq.g403.t1/Montipora_capitata_HIv3___RNAseq.g24524.t1/Montipora_capitata_HIv3___RNAseq.g13857.t1/Montipora_capitata_HIv3___RNAseq.g668.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g12548.t1/Montipora_capitata_HIv3___RNAseq.g18698.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g18395.t1/Montipora_capitata_HIv3___TS.g40519.t3/Montipora_capitata_HIv3___RNAseq.g20807.t2/Montipora_capitata_HIv3___RNAseq.g36935.t1/Montipora_capitata_HIv3___TS.g5653.t1/Montipora_capitata_HIv3___RNAseq.g9338.t1/Montipora_capitata_HIv3___TS.g6904.t1/Montipora_capitata_HIv3___RNAseq.g14155.t1/Montipora_capitata_HIv3___RNAseq.g32149.t1/Montipora_capitata_HIv3___RNAseq.g30434.t1/Montipora_capitata_HIv3___RNAseq.g40284.t1/Montipora_capitata_HIv3___RNAseq.g42740.t1/Montipora_capitata_HIv3___RNAseq.g41333.t1/Montipora_capitata_HIv3___RNAseq.g22408.t1/Montipora_capitata_HIv3___RNAseq.g1174.t1/Montipora_capitata_HIv3___RNAseq.g23247.t1/Montipora_capitata_HIv3___RNAseq.g39974.t1/Montipora_capitata_HIv3___RNAseq.g15188.t1/Montipora_capitata_HIv3___RNAseq.g49962.t1/Montipora_capitata_HIv3___RNAseq.g18929.t1/Montipora_capitata_HIv3___TS.g50674.t1/Montipora_capitata_HIv3___RNAseq.g8270.t1/Montipora_capitata_HIv3___TS.g28908.t1/Montipora_capitata_HIv3___RNAseq.g43111.t1/Montipora_capitata_HIv3___RNAseq.g15029.t1b/Montipora_capitata_HIv3___TS.g21895.t1/Montipora_capitata_HIv3___RNAseq.g44719.t1/Montipora_capitata_HIv3___RNAseq.g9087.t1/Montipora_capitata_HIv3___RNAseq.g14625.t1/Montipora_capitata_HIv3___RNAseq.g15140.t1/Montipora_capitata_HIv3___RNAseq.g14956.t1/Montipora_capitata_HIv3___RNAseq.g39706.t2/Montipora_capitata_HIv3___RNAseq.g22853.t1/Montipora_capitata_HIv3___TS.g32614.t2/Montipora_capitata_HIv3___RNAseq.g11658.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1/Montipora_capitata_HIv3___TS.g47745.t1/Montipora_capitata_HIv3___RNAseq.g37450.t2/Montipora_capitata_HIv3___RNAseq.g20763.t1/Montipora_capitata_HIv3___TS.g20607.t1/Montipora_capitata_HIv3___TS.g46192.t3,0.9980232391306181,organelle,CC
GO:0015630,microtubule cytoskeleton,8/79,761/8363,0.4307094608976737,1.126879700830629,8,761,Montipora_capitata_HIv3___RNAseq.g39887.t1/Montipora_capitata_HIv3___RNAseq.g403.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___TS.g5653.t1/Montipora_capitata_HIv3___RNAseq.g15029.t1b/Montipora_capitata_HIv3___TS.g21895.t1/Montipora_capitata_HIv3___RNAseq.g22853.t1/Montipora_capitata_HIv3___TS.g47745.t1,0.9980232391306181,microtubule cytoskeleton,CC
GO:0040007,growth,5/79,455/8363,0.431010647770253,1.176250588995874,5,455,Montipora_capitata_HIv3___RNAseq.g668.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g39974.t1/Montipora_capitata_HIv3___RNAseq.g15188.t1/Montipora_capitata_HIv3___TS.g47745.t1,0.9980232391306181,growth,BP
GO:0006950,response to stress,21/79,2109/8363,0.4321454647814701,1.0744136773019453,21,2109,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g6978.t1/Montipora_capitata_HIv3___RNAseq.g26525.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g44519.t1/Montipora_capitata_HIv3___RNAseq.g50691.t1/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g42608.t1/Montipora_capitata_HIv3___RNAseq.g668.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g18698.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___TS.g40519.t3/Montipora_capitata_HIv3___RNAseq.g42740.t1/Montipora_capitata_HIv3___RNAseq.g39974.t1/Montipora_capitata_HIv3___RNAseq.g15188.t1/Montipora_capitata_HIv3___RNAseq.g18929.t1/Montipora_capitata_HIv3___RNAseq.g15140.t1/Montipora_capitata_HIv3___RNAseq.g26867.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1/Montipora_capitata_HIv3___TS.g47745.t1,0.9980232391306181,response to stress,BP
GO:0006955,immune response,7/79,660/8363,0.43293314937270333,1.136124277535409,7,660,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g6978.t1/Montipora_capitata_HIv3___RNAseq.g44519.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g18698.t1/Montipora_capitata_HIv3___RNAseq.g15140.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.9980232391306181,immune response,BP
GO:0055065,GO:0055065,4/79,355/8363,0.4334441450731812,1.2053632428851537,4,355,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1,0.9980232391306181,NA,NA
GO:0050877,nervous system process,7/79,661/8363,0.4345160344674699,1.134237566594558,7,661,Montipora_capitata_HIv3___RNAseq.g26525.t1/Montipora_capitata_HIv3___RNAseq.g47205.t1/Montipora_capitata_HIv3___RNAseq.g668.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g1174.t1/Montipora_capitata_HIv3___RNAseq.g12947.t1,0.9980232391306181,nervous system process,BP
GO:0006520,amino acid metabolic process,3/79,255/8363,0.43471627925960754,1.258104887550838,3,255,Montipora_capitata_HIv3___RNAseq.g20771.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1/Montipora_capitata_HIv3___RNAseq.g37450.t2,0.9980232391306181,amino acid metabolic process,BP
GO:0060429,epithelium development,12/79,1178/8363,0.4369562383083214,1.09338309048599,12,1178,Montipora_capitata_HIv3___RNAseq.g2559.t1a/Montipora_capitata_HIv3___RNAseq.g13857.t1/Montipora_capitata_HIv3___RNAseq.g668.t1/Montipora_capitata_HIv3___RNAseq.g18698.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g41333.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1/Montipora_capitata_HIv3___RNAseq.g14625.t1/Montipora_capitata_HIv3___RNAseq.g39706.t2/Montipora_capitata_HIv3___RNAseq.g14488.t1/Montipora_capitata_HIv3___TS.g20607.t1/Montipora_capitata_HIv3___TS.g46192.t3,0.9980232391306181,epithelium development,BP
