"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
469 0.337018922451551 2 17 "GO:0002200;GO:0016445" "somatic diversification of immune receptors" 0.755157545605663
55 0.815283574895078 4 73 "GO:0002218;GO:0002221;GO:0002758" "activation of innate immune response" 0.954433171285681
-629 0.242457617507168 3 14 "GO:0002220;GO:0002223;GO:1990858;GO:1990840" "innate immune response activating cell surface receptor signaling pathway" 0.67799864622519
137 0.640802872820297 4 47 "GO:0002224" "toll-like receptor signaling pathway" 0.895246768876812
798 0.0764771148089275 4 20 "GO:0002230;GO:0050691" "regulation of defense response to virus by host" 0.470419549773926
-98 0.560628998376212 2 147 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 0.869728035779107
-140 0.817027313331305 3 11 "GO:0002239" "response to oomycetes" 0.954529855491208
-294 0.483416559378122 2 23 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.839555628959347
1586 0.000835364199711837 4 18 "GO:0002250;GO:0002460" "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 0.0537728506800968
-20 0.85873235487237 2 327 "GO:0002252" "immune effector process" 0.96545494873776
106 0.605847236352126 3 97 "GO:0002253;GO:0002757;GO:0002764" "activation of immune response" 0.88604844471059
-1131 0.0428460057052852 2 13 "GO:0002260;GO:0043029" "lymphocyte homeostasis" 0.36576282627533
-780 0.0144602662381173 3 40 "GO:0002262;GO:0030218;GO:0034101" "myeloid cell homeostasis" 0.250352447263984
107 0.4139346675645 2 246 "GO:0002263;GO:0002274;GO:0002275;GO:0002366;GO:0002283;GO:0042119;GO:0036230;GO:0002443;GO:0002444;GO:0002446;GO:0043299;GO:0043312" "leukocyte mediated immunity" 0.799986550840701
141 0.766671053905691 2 18 "GO:0002285" "lymphocyte activation involved in immune response" 0.939651376272486
248 0.523224518958898 2 27 "GO:0002377;GO:0002440" "production of molecular mediator of immune response" 0.853573755770053
-94 0.776339311304689 2 37 "GO:0002429;GO:0002768" "immune response-regulating cell surface receptor signaling pathway" 0.943098598827624
14 0.971011810748827 3 27 "GO:0002431;GO:0002433;GO:0038093;GO:0038094;GO:0038096" "Fc receptor signaling pathway" 0.990755565147846
1094 0.0250512829842879 4 17 "GO:0002449" "lymphocyte mediated immunity" 0.295672166058702
-158 0.66264535374656 2 31 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 0.908362456618291
-48 0.788241327499624 2 131 "GO:0002478;GO:0019884;GO:0048002;GO:0019882;GO:0002495;GO:0002504;GO:0019886" "antigen processing and presentation" 0.94412539480955
267 0.573507604446744 4 18 "GO:0002479;GO:0042590" "antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent" 0.877040394398668
-31 0.826778247512717 2 202 "GO:0002520;GO:0030097;GO:0048534" "immune system development" 0.957321820196959
60 0.804008300680116 2 69 "GO:0002521" "leukocyte differentiation" 0.948346129526512
-226 0.722295709013083 2 10 "GO:0002526" "acute inflammatory response" 0.928026373586006
-39 0.916138385762802 2 29 "GO:0002573" "myeloid leukocyte differentiation" 0.978526744357424
226 0.560047328893896 2 27 "GO:0002576" "platelet degranulation" 0.869728035779107
1045 0.0612664263044429 2 13 "GO:0002637" "regulation of immunoglobulin production" 0.428000054039262
86 0.406722910737769 3 403 "GO:0002682" "regulation of immune system process" 0.796960106603879
-287 0.177857056164349 4 90 "GO:0002683" "negative regulation of immune system process" 0.611156330286259
136 0.233190136926335 4 325 "GO:0002684;GO:0050776;GO:0050778" "regulation of immune response" 0.668104474122253
-212 0.538927077864044 2 34 "GO:0002685" "regulation of leukocyte migration" 0.85932940316226
255 0.543826756503598 3 23 "GO:0002687;GO:0002690;GO:0071677" "positive regulation of leukocyte migration" 0.859970218081256
-247 0.508471332078782 2 29 "GO:0002688;GO:0071675" "regulation of mononuclear cell migration" 0.846385783536806
2 0.992949372832226 4 90 "GO:0002694;GO:0051249" "regulation of leukocyte activation" 0.997286071365635
-398 0.323385460273885 2 25 "GO:0002695;GO:0050868;GO:0051250;GO:1903038" "negative regulation of leukocyte activation" 0.743703037892644
111 0.671652153028319 2 59 "GO:0002696;GO:0051251" "positive regulation of leukocyte activation" 0.911094059796531
147 0.391444053025882 2 140 "GO:0002697" "regulation of immune effector process" 0.786677712487664
