"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-326 0.517785315317411 2 13 "GO:0008474;GO:0098599" "palmitoyl hydrolase activity" 0.699590628396745
-536 0.140399746125314 2 25 "GO:0008483;GO:0016769" "transferase activity, transferring nitrogenous groups" 0.336168406215541
-367 0.294047007424343 2 27 "GO:0008494" "translation activator activity" 0.506207506452033
537 1.88535671456441e-05 2 216 "GO:0008509;GO:0008514" "monoatomic anion transmembrane transporter activity" 0.000442083643415103
1223 0.000370101383149184 2 28 "GO:0008519" "ammonium channel activity" 0.00547106392481402
1662 0.000394734746978143 4 15 "GO:0008525" "phosphatidylcholine transporter activity" 0.00548188296627977
784 0.119683419679252 2 13 "GO:0008526" "phosphatidylinositol transfer activity" 0.303316119692036
-79 0.842816949919569 2 21 "GO:0008553" "P-type proton-exporting transporter activity" 0.90569902250676
1742 0.000125291320566282 2 16 "GO:0008554;GO:0008556" "P-type sodium transporter activity" 0.00224205521013347
2125 1.19100026076344e-05 2 14 "GO:0008559;GO:0042910" "xenobiotic transmembrane transporter activity" 0.000299955621229311
-314 0.119988288525232 -1 82 "GO:0008565" "obsolete protein transporter activity" 0.303316119692036
391 0.179253808762833 5 39 "GO:0008569" "minus-end-directed microtubule motor activity" 0.377438929930238
876 0.00181554840557345 5 42 "GO:0008574" "plus-end-directed microtubule motor activity" 0.0184264614297007
272 0.561840603590962 2 15 "GO:0008641" "ubiquitin-like modifier activating enzyme activity" 0.730079860166187
3 0.994197563628851 5 24 "GO:0008649;GO:0140102" "rRNA methyltransferase activity" 0.994197563628851
1028 0.0163756554478027 6 18 "GO:0009011;GO:0033840" "alpha-1,4-glucan glucosyltransferase (NDP-glucose donor) activity" 0.0791438009609077
-310 0.157368908260685 1 69 "GO:0009055" "electron transfer activity" 0.353445802298193
148 0.509083872343121 3 66 "GO:0009931;GO:0010857" "calcium-dependent protein serine/threonine kinase activity" 0.692354066386645
1492 0.00304154254801784 3 13 "GO:0009975;GO:0016849" "phosphorus-oxygen lyase activity" 0.0258531116581516
772 0.125353413885463 2 13 "GO:0010181" "FMN binding" 0.306619861302571
457 0.260532668013196 3 20 "GO:0015020" "glucuronosyltransferase activity" 0.464992688317515
-194 0.442003762280844 3 52 "GO:0015036;GO:0015035" "disulfide oxidoreductase activity" 0.642227688784132
609 9.03968640947487e-14 3 540 "GO:0015075;GO:0015318" "monoatomic ion transmembrane transporter activity" 1.22939735168858e-11
