,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g38223.t1,243.265716069647,3.03319339176705,0.4865034962455,6.23467953503964,4.52703869570181e-10,8.8641719545924e-08
Montipora_capitata_HIv3___RNAseq.g49570.t1,61.4889766573059,9.34408832112532,1.50391796283977,6.21316358472196,5.19283389245344e-10,1.00823888306838e-07
Montipora_capitata_HIv3___RNAseq.g19835.t1d,44.069541926913,3.57958535791715,0.578951214902062,6.18287908511029,6.29429262838424e-10,1.19744329835415e-07
Montipora_capitata_HIv3___RNAseq.g29220.t1,32.5511953454457,5.60142175481429,0.90606133505641,6.18216619349015,6.32279084177475e-10,1.19744329835415e-07
Montipora_capitata_HIv3___RNAseq.g15886.t1,4202.12557426486,3.13295672139983,0.506727855730129,6.18272053918498,6.30061972765244e-10,1.19744329835415e-07
Montipora_capitata_HIv3___RNAseq.g29153.t1,280.436819894,8.51230536881696,1.37968724702892,6.16973548689947,6.84043293410421e-10,1.28494473936974e-07
Montipora_capitata_HIv3___RNAseq.g41637.t1,35.7515829628432,-4.39914935676723,0.714672581504483,-6.15547520727102,7.48527057408963e-10,1.39473529527694e-07
Montipora_capitata_HIv3___RNAseq.g24510.t1,81.8269442241666,-1.76542207946028,0.287965283423097,-6.1306767901824,8.75060175285728e-10,1.61049539097778e-07
Montipora_capitata_HIv3___RNAseq.g26022.t1,48.6257726462093,2.61797380714483,0.427068990175322,6.13009576291196,8.7826193145726e-10,1.61049539097778e-07
Montipora_capitata_HIv3___TS.g42432.t1,29.0266426725675,-8.37513147609509,1.36743288178263,-6.12471119253544,9.08482400245074e-10,1.65279416202066e-07
Montipora_capitata_HIv3___RNAseq.g14946.t1,140.145068264228,-2.27798086387421,0.372669252374882,-6.1126074913814,9.80162424752074e-10,1.76926975186693e-07
Montipora_capitata_HIv3___TS.g35066.t1,39.3231510774656,6.87562165428479,1.13105416012087,6.07894997137013,1.2097209173891e-09,2.1667133175407e-07
Montipora_capitata_HIv3___RNAseq.g38221.t1,31.1732819749266,8.3646220250624,1.37694977480111,6.07474737142871,1.2418306571636e-09,2.20711517952039e-07
Montipora_capitata_HIv3___RNAseq.g20959.t1,601.73832981256,-7.4933637610055,1.23382188594507,-6.07329457060638,1.25312278190955e-09,2.21018334931451e-07
Montipora_capitata_HIv3___RNAseq.g50373.t3,36.1773873392715,-6.8392302948545,1.12723692908568,-6.06725180694879,1.30117470697779e-09,2.27754860641832e-07
Montipora_capitata_HIv3___RNAseq.g2569.t1,290.573453389269,-1.36953296208958,0.228040073047578,-6.00566796785685,1.90545782588531e-09,3.31019571932933e-07
Montipora_capitata_HIv3___RNAseq.g23733.t1,75.8129106558631,2.82713659838343,0.471139456656465,6.00063645368776,1.96545600279186e-09,3.38894484660492e-07
Montipora_capitata_HIv3___RNAseq.g11548.t1,70.4942494673283,2.68698313573037,0.450629247876399,5.96273577090889,2.48049361299344e-09,4.2141033035451e-07
Montipora_capitata_HIv3___RNAseq.g4221.t1,28.1634348744556,8.21864845188095,1.37821588992412,5.9632518475269,2.47266858555123e-09,4.2141033035451e-07
Montipora_capitata_HIv3___RNAseq.g16461.t1,81.9581768425763,9.75826555564408,1.64490815623397,5.932407544252,2.98524499091602e-09,5.03460478212516e-07
Montipora_capitata_HIv3___RNAseq.g28726.t1,46.0272075477285,5.8012657889622,0.978736978186312,5.92729805684104,3.07959709914335e-09,5.15609354896428e-07
Montipora_capitata_HIv3___RNAseq.g6907.t1,42.1991269307595,6.24234628729851,1.05701339045128,5.90564541914972,3.51268773350188e-09,5.83889568939287e-07
Montipora_capitata_HIv3___RNAseq.g7741.t1,29.7781777253191,5.88869940334293,1.00738818156606,5.84551170154539,5.05013433595982e-09,8.275415165415e-07
Montipora_capitata_HIv3___TS.g29616.t1,266.152679983222,5.20465839048183,0.890266287741314,5.84618159998681,5.02984928083034e-09,8.275415165415e-07
Montipora_capitata_HIv3___RNAseq.g34765.t1,22.8481714394288,7.91472994825234,1.35603130805719,5.8366867351993,5.32490772025899e-09,8.66422485046366e-07
Montipora_capitata_HIv3___TS.g14199.t1,28.6434594966446,-8.34652274534024,1.43670305809032,-5.80949744509802,6.2660650339747e-09,1.01242959867123e-06
Montipora_capitata_HIv3___RNAseq.g8322.t1,53.9247328508693,-6.86582856122144,1.18417055524008,-5.79800648719005,6.71078567337313e-09,1.07675488182838e-06
Montipora_capitata_HIv3___RNAseq.g45046.t1,24.2220060948206,8.00014745961958,1.38058157629734,5.79476620358476,6.84164230006671e-09,1.09018031271063e-06
Montipora_capitata_HIv3___RNAseq.g11648.t1,24.2561799654255,8.00153206211391,1.38184691903035,5.79046199106385,7.01930819160565e-09,1.11082956004828e-06
Montipora_capitata_HIv3___RNAseq.g7739.t1,409.637152822124,1.6719232250692,0.289252922145438,5.78014290285563,7.46372005130256e-09,1.17312416180507e-06
Montipora_capitata_HIv3___RNAseq.g18955.t1,1112.60751524484,-1.52563283787902,0.264133287182725,-5.77599610466211,7.64991432491654e-09,1.19426534106214e-06
Montipora_capitata_HIv3___RNAseq.g15650.t1a,61.4488768795944,4.58359943822423,0.794665677879928,5.76795949015027,8.02370857606521e-09,1.24421333322139e-06
Montipora_capitata_HIv3___RNAseq.g46469.t1,21.3769486410813,-7.92932314867941,1.37580125789433,-5.76342193553106,8.24253868796654e-09,1.26962570923645e-06
Montipora_capitata_HIv3___RNAseq.g14772.t1,27.6276477361024,8.18673141225067,1.42139607314798,5.75964121957889,8.42929114791944e-09,1.28979319187204e-06
Montipora_capitata_HIv3___TS.g15341.t1,130.59001372965,7.32648784065671,1.27347004660974,5.75316856502549,8.7586073041143e-09,1.33136593264185e-06
Montipora_capitata_HIv3___RNAseq.g26615.t1,44.5211292727315,-8.02527742383679,1.39908054809258,-5.73610821391087,9.6876777291024e-09,1.46296597340465e-06
