"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Montipora_capitata_HIv3___RNAseq.g42130.t1",39.150771840983,5.92198414176964,1.22169522277861,4.84734983926741,1.2512167220426e-06,0.000379609008467275
"Montipora_capitata_HIv3___RNAseq.g39759.t1",514.019761261815,-2.91705075598015,0.603901931608573,-4.83033850911886,1.36301124655932e-06,0.000399560005010993
"Montipora_capitata_HIv3___RNAseq.g1066.t1",17.2697021406419,7.73792413332367,1.60262474408535,4.82828195551159,1.37716013484576e-06,0.000399560005010993
"Montipora_capitata_HIv3___RNAseq.g40803.t1",2366.80002242528,0.96664299315091,0.200270101919462,4.82669646585411,1.38816446442731e-06,0.000399560005010993
"Montipora_capitata_HIv3___RNAseq.g47551.t1",187.214632865813,1.18376302766936,0.244857220051585,4.83450325630573,1.33478520136751e-06,0.000399560005010993
"Montipora_capitata_HIv3___RNAseq.g49269.t1",21.5262060882237,8.05597100767532,1.67204126547981,4.81804556741223,1.44971266840013e-06,0.0004119936597247
"Montipora_capitata_HIv3___RNAseq.g6534.t1",16.0243074869626,7.63299648468472,1.59261640694076,4.79274007941866,1.64518713494632e-06,0.000461701204583499
"Montipora_capitata_HIv3___RNAseq.g27094.t1",133.799905775021,-1.209804411095,0.253683873302703,-4.76894488934038,1.8519330984151e-06,0.000504291855590924
"Montipora_capitata_HIv3___RNAseq.g40523.t1",23.2676755929379,8.1698529211996,1.71187929421502,4.77244683594695,1.82001159712575e-06,0.000504291855590924
"Montipora_capitata_HIv3___RNAseq.g34772.t1",64.4219613624122,5.28943043079794,1.10945353654402,4.76759977463742,1.86433673395602e-06,0.000504291855590924
"Montipora_capitata_HIv3___RNAseq.g13600.t1",126.780645553238,-2.54491022823743,0.534599481627923,-4.76040534212241,1.93204533863943e-06,0.000516385117830879
"Montipora_capitata_HIv3___RNAseq.g25591.t1",1920.96434401003,-0.543015221431354,0.114165924576553,-4.75636862264661,1.97106411259004e-06,0.00052061600460893
"Montipora_capitata_HIv3___RNAseq.g49273.t1",1253.67213056984,1.24063903932866,0.266683122313561,4.65210932197628,3.28556806099006e-06,0.000857724285317299
"Montipora_capitata_HIv3___RNAseq.g6958.t1",48.6159505390931,3.11072460829152,0.669487865669847,4.64642418153335,3.37738181707394e-06,0.000871558611208356
"Montipora_capitata_HIv3___RNAseq.g9307.t1",323.711393361859,1.75880931674748,0.380010514783481,4.62831750260806,3.68648526516385e-06,0.000940514553274928
"Montipora_capitata_HIv3___TS.g24803.t1",16.0807685025897,-7.30231205169404,1.57908741650032,-4.6243874629043,3.75706995173911e-06,0.000947752556028031
"Montipora_capitata_HIv3___RNAseq.g5270.t1",931.875665385875,1.16257508932866,0.255507771594981,4.55005764431902,5.36312212940031e-06,0.00133786061030185
"Montipora_capitata_HIv3___RNAseq.g29489.t1",333.303505785668,1.67848953923183,0.372335007431914,4.50800893208723,6.54388219274337e-06,0.00161446922098111
"Montipora_capitata_HIv3___RNAseq.g1339.t1",54.1894214909479,-4.76763610086577,1.06055620185852,-4.49541108006436,6.94356707161701e-06,0.00168913901818998
"Montipora_capitata_HIv3___RNAseq.g29792.t1",178.817198052177,-4.74382231933707,1.0556420192538,-4.49377936157781,6.99701254695417e-06,0.00168913901818998
"Montipora_capitata_HIv3___RNAseq.g49470.t1",58.7631627691289,4.45514070253692,0.994425490447546,4.4801151472212,7.46027814578545e-06,0.00178181600692584
"Montipora_capitata_HIv3___RNAseq.g8474.t1",50.416346779745,3.47671052606554,0.778985354072505,4.46312694826601,8.07721651854498e-06,0.00190885882166161
"Montipora_capitata_HIv3___RNAseq.g23752.t1",52.4007221259681,-4.16560097426817,0.939523954200857,-4.43373578251271,9.26141174013447e-06,0.00216591619768499
"Montipora_capitata_HIv3___RNAseq.g6532.t1",18.560578313867,4.41060551159926,0.998130281685059,4.41886754918728,9.92194281935692e-06,0.00229646946636476
"Montipora_capitata_HIv3___RNAseq.g13613.t1",225.087137894657,2.80023141738441,0.634697817605422,4.41191278701584,1.02461387125185e-05,0.00234730673708931
"Montipora_capitata_HIv3___TS.g26100.t1",17.0653383911564,7.72135116737083,1.75770530059438,4.39285878284592,1.11869797650302e-05,0.00253695841115852
"Montipora_capitata_HIv3___RNAseq.g8248.t1",12.3677061315249,7.2631196445008,1.66676563117978,4.35761303726894,1.31488593145656e-05,0.00295205040471313
"Montipora_capitata_HIv3___RNAseq.g41254.t1",332.796935686333,-2.43018167898284,0.558548008275011,-4.35089131637596,1.35585249125673e-05,0.00300288087438412
"Montipora_capitata_HIv3___RNAseq.g49215.t2",225.067501860344,5.15065189665932,1.18418501753869,4.34953307158445,1.364277088714e-05,0.00300288087438412
"Montipora_capitata_HIv3___RNAseq.g25137.t1",408.239249822437,1.57426868946549,0.363228561557268,4.33409939657867,1.46358040657364e-05,0.00319017900077522
"Montipora_capitata_HIv3___TS.g26714.t1",20.1118371261423,7.95709679181323,1.84503396823315,4.31271018789598,1.61265448600081e-05,0.00348131787165424
"Montipora_capitata_HIv3___TS.g48244.t1",243.444553860479,-2.59006036073123,0.603190760329052,-4.29393241918743,1.75535926427474e-05,0.00375329246116496
