"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-858 0.253078416900496 4 7 "GO:0003707" "nuclear steroid receptor activity" 0.606539893018507
-51 0.662402118935316 2 304 "GO:0003712" "transcription coregulator activity" 0.887209861293842
-74 0.618246495811916 2 185 "GO:0003713" "transcription coactivator activity" 0.860198097416147
-238 0.220319928584314 2 106 "GO:0003714" "transcription corepressor activity" 0.561940684002162
439 4.16202656425365e-08 2 682 "GO:0003723" "RNA binding" 1.07130563763889e-05
303 0.17653987029885 4 79 "GO:0003724;GO:0008186" "ATP-dependent activity, acting on RNA" 0.497912193686215
72 0.786464885192144 2 56 "GO:0003725" "double-stranded RNA binding" 0.930254454151524
-1727 0.0517540814363339 4 5 "GO:0003726" "double-stranded RNA adenosine deaminase activity" 0.301391415423356
-32 0.88295721337416 2 87 "GO:0003727" "single-stranded RNA binding" 0.963343893957535
168 0.203082005313814 2 233 "GO:0003729" "mRNA binding" 0.538900084203873
-119 0.65016446545976 2 58 "GO:0003730" "mRNA 3'-UTR binding" 0.882748819178989
673 0.00017112828736993 2 125 "GO:0003735" "structural constituent of ribosome" 0.00688256580765937
974 0.000792650244363757 2 47 "GO:0003743" "translation initiation factor activity" 0.0217051247765139
1258 0.00100329174050785 2 27 "GO:0003746" "translation elongation factor activity" 0.0253183621575216
-84 0.924544762739448 3 5 "GO:0003747;GO:0008079" "translation release factor activity" 0.97721689230131
324 0.434023595558079 2 23 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 0.757201847241979
-283 0.535117575130576 3 19 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.821730658898271
-1225 1.5346359133926e-09 1 97 "GO:0003774" "cytoskeletal motor activity" 1.97507642053628e-06
-1261 8.03932004029557e-08 2 72 "GO:0003777" "microtubule motor activity" 1.34047795627816e-05
-652 3.9555210279542e-05 4 160 "GO:0003779" "actin binding" 0.00231397980135321
-75 0.899901186192389 5 11 "GO:0003785" "actin monomer binding" 0.970807063394472
-1514 0.0616259740343418 2 6 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.327738134637181
-1395 0.00377466706188386 2 17 "GO:0003823" "antigen binding" 0.0639210066926912
