"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
338 0.472672819908534 2 18 "GO:0004683" "calcium/calmodulin-dependent protein kinase activity" 0.788960056916631
809 0.283866688472855 2 7 "GO:0004690" "cyclic nucleotide-dependent protein kinase activity" 0.684426655338121
730 0.413700120792635 2 5 "GO:0004691" "cAMP-dependent protein kinase activity" 0.75478849244181
-310 0.46775180945531 4 22 "GO:0004693;GO:0097472" "cyclin-dependent protein kinase activity" 0.787072816559463
756 0.316360478903469 2 7 "GO:0004697" "diacylglycerol-dependent serine/threonine kinase activity" 0.712063561298826
154 0.80695432678225 2 10 "GO:0004707" "MAP kinase activity" 0.943877891584588
-477 0.371361575154586 3 14 "GO:0004708" "MAP kinase kinase activity" 0.73081211250388
315 0.541069407790547 2 15 "GO:0004709" "MAP kinase kinase kinase activity" 0.814764066644665
-382 0.311819262650835 2 28 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.709372398785985
23 0.905192844472647 4 104 "GO:0004713" "protein tyrosine kinase activity" 0.97469266961006
83 0.778511742745381 3 46 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 0.930653330724728
311 0.427464052018335 2 26 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.763262702841521
131 0.507898857958124 2 103 "GO:0004721" "phosphoprotein phosphatase activity" 0.803416350277638
268 0.300992534967824 5 60 "GO:0004722" "protein serine/threonine phosphatase activity" 0.699911088882488
635 0.400373958770907 2 7 "GO:0004723" "calcium-dependent protein serine/threonine phosphatase activity" 0.74991086915414
-30 0.925243184213776 3 39 "GO:0004725" "protein tyrosine phosphatase activity" 0.985882317876126
-89 0.913409936037007 6 6 "GO:0004726" "non-membrane spanning protein tyrosine phosphatase activity" 0.978957526973493
599 0.50260863258569 2 5 "GO:0004741" "[pyruvate dehydrogenase (acetyl-transferring)]-phosphatase activity" 0.801666517617161
-282 0.655831207326498 7 10 "GO:0004745;GO:0004022" "alcohol dehydrogenase (NAD+) activity" 0.861078699799089
1608 0.0485720053154067 2 6 "GO:0004753;GO:0004754" "saccharopine dehydrogenase activity" 0.335934411759102
1487 0.0489335110871935 5 7 "GO:0004758;GO:0016454" "serine C-palmitoyltransferase activity" 0.335934411759102
-3 0.997052786271486 5 7 "GO:0004768;GO:0016215;GO:0032896" "acyl-CoA desaturase activity" 0.999711308742872
834 0.23747158964756 5 8 "GO:0004771" "sterol ester esterase activity" 0.630764653172646
-1274 0.0344551642032692 2 11 "GO:0004791" "thioredoxin-disulfide reductase (NADPH) activity" 0.300177566922421
1244 0.00830926971837169 4 18 "GO:0004796;GO:0036134" "thromboxane-A synthase activity" 0.12409948280685
454 0.472359168352517 4 10 "GO:0004800;GO:0046992" "thyroxine 5'-deiodinase activity" 0.788960056916631
110 0.836443162161697 2 14 "GO:0004806" "triacylglycerol lipase activity" 0.952312463063046
-635 0.112302319887194 3 25 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.474807602464239
-1254 0.160292154132495 5 5 "GO:0004826" "phenylalanine-tRNA ligase activity" 0.550256648514535
41 0.734626430021824 2 288 "GO:0004842;GO:0019787;GO:0016755" "aminoacyltransferase activity" 0.906070697613972
-192 0.413088651695675 4 73 "GO:0004843;GO:0101005;GO:0019783" "ubiquitin-like protein peptidase activity" 0.75478849244181
-138 0.356113659706471 3 182 "GO:0004857;GO:0140678" "molecular function inhibitor activity" 0.723578532035742
-526 0.0660958019707375 2 49 "GO:0004860;GO:0019210" "kinase inhibitor activity" 0.36898141876868
-60 0.9144523906274 5 13 "GO:0004864;GO:0019212" "phosphatase inhibitor activity" 0.979162243223007
-319 0.31286613316021 5 40 "GO:0004866;GO:0030414;GO:0061135" "endopeptidase regulator activity" 0.709372398785985
-1243 0.0490756358048079 2 10 "GO:0004867;GO:0043121;GO:0048406" "neurotrophin binding" 0.335934411759102
404 0.343570205581049 2 22 "GO:0004869" "cysteine-type endopeptidase inhibitor activity" 0.717702645098127
384 0.52439825362222 3 11 "GO:0004879;GO:0098531" "ligand-modulated transcription factor activity" 0.807541053043157
761 0.140507833388593 5 15 "GO:0004890;GO:0022851;GO:0008503" "GABA-gated chloride ion channel activity" 0.522925593517417
489 0.00288688916762334 3 151 "GO:0004930" "G protein-coupled receptor activity" 0.0737760565059298
1136 0.203339157871863 4 5 "GO:0004965" "G protein-coupled GABA receptor activity" 0.602680493692377
728 0.334815938809095 3 7 "GO:0004970" "glutamate-gated receptor activity" 0.717702645098127
286 0.65080009138498 5 10 "GO:0004993;GO:0051378;GO:0099589" "G protein-coupled serotonin receptor activity" 0.858279937032944
890 0.159023922272781 5 10 "GO:0004995" "tachykinin receptor activity" 0.548992726761096
142 0.862185475926469 4 6 "GO:0005001;GO:0019198" "transmembrane receptor protein tyrosine phosphatase activity" 0.95983862276422
-191 0.814391448003951 4 6 "GO:0005006" "epidermal growth factor receptor activity" 0.945757051042256
158 0.783829062971646 4 12 "GO:0005007" "fibroblast growth factor receptor activity" 0.933129836871007
-1814 0.0422203562441535 5 5 "GO:0005021" "vascular endothelial growth factor receptor activity" 0.327379052788133
-468 0.199936419414812 3 30 "GO:0005048" "signal sequence binding" 0.601430760307578
-97 0.877483805049018 2 10 "GO:0005049;GO:0140142" "nucleocytoplasmic carrier activity" 0.961590603444175
77 0.867071707990037 -1 19 "GO:0005070" "obsolete SH3/SH2 adaptor activity" 0.961590603444175
