"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","uniprot_acc","uniprot_entry","pident","align_length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","qlen","slen","qcovs","quality_tier","description","source","organism","season","category","short_name"
783.52491172335,-2.86907321436636,0.815857750613035,-3.51663413408837,0.000437055765236643,0.0170865879116627,"Montipora_capitata_HIv3___RNAseq.g13826.t1","P18258","TBA1_PARLI",97.059,340,10,0,1,1020,93,432,0,671,1083,452,94,"HIGH","Tubulin alpha-1 chain","SwissProt","Host","Summer","Other Transport","TBA1_PARLI"
56.3224020933737,-1.45074720868784,0.41396567291037,-3.50451088972769,0.000457446858953697,0.0177337410673241,"Montipora_capitata_HIv3___TS.g41812.t1","A0AAD9UUQ2","A0AAD9UUQ2_ACRCE",66.667,105,35,0,1,315,13,117,5.15e-38,144,384,507,82,"HIGH","Endonuclease/exonuclease/phosphatase domain-containing protein","TrEMBL","Host","Summer","Other Transport","A0AAD9UUQ2_ACRCE"
274.114343673541,1.17694985351583,0.338303380483815,3.47897751371165,0.000503330819253725,0.0192540704947969,"Montipora_capitata_HIv3___TS.g11205.t1","A0A2P1BRQ0","CTXA_SCOPL",40.455,220,130,1,295,954,79,297,7.54e-44,174,3444,702,19,"LOW","Cytolytic toxin-alpha","SwissProt","Host","Summer","Other Transport","CTXA_SCOPL"
516.022742601112,1.18963995476407,0.342809130307674,3.47026916609938,0.000519937038833844,0.0197260185258719,"Montipora_capitata_HIv3___RNAseq.g9239.t1","Q96BD0","SO4A1_HUMAN",33.489,642,386,12,13,1887,80,697,3.41e-102,330,1983,722,95,"MEDIUM","Solute carrier organic anion transporter family member 4A1","SwissProt","Host","Summer","Cl- Transport","SO4A1_HUMAN"
93.3134512440219,-1.27574198452715,0.368455222711065,-3.46240711460227,0.00053536667091829,0.0200805956681284,"Montipora_capitata_HIv3___RNAseq.g45106.t1","Q4R9C4","G2E3_MACFA",29.859,355,214,8,769,1815,367,692,1.61e-42,166,1836,706,57,"LOW","G2/M phase-specific E3 ubiquitin-protein ligase","SwissProt","Host","Summer","Other Transport","G2E3_MACFA"
162.941248729412,-0.96388806395673,0.279344167870413,-3.45053942348234,0.00055946744871861,0.0207487887682881,"Montipora_capitata_HIv3___TS.g50674.t1","Q9BXW7","HDHD5_HUMAN",38.107,412,169,11,109,1188,41,418,1.12e-57,197,1203,423,90,"MEDIUM","Haloacid dehalogenase-like hydrolase domain-containing 5","SwissProt","Host","Summer","Other Transport","HDHD5_HUMAN"
169.993383248144,0.912379822247632,0.26827106234865,3.40096249763192,0.000671490392627247,0.0240166958539513,"Montipora_capitata_HIv3___RNAseq.g6934.t1","Q9JL55","GDE1_RAT",41.729,266,148,5,91,882,66,326,1.21e-58,194,897,331,88,"HIGH","Glycerophosphodiester phosphodiesterase 1","SwissProt","Host","Summer","Other Transport","GDE1_RAT"
79.0078798387502,1.4494290439262,0.42903460225419,3.37834998928002,0.000729222062429186,0.0257293012443206,"Montipora_capitata_HIv3___TS.g2501.t2","A4IFW2","PTPRF_DANRE",30.588,340,192,9,1051,1998,600,919,8.46e-30,132,2802,1909,34,"LOW","Receptor-type tyrosine-protein phosphatase F","SwissProt","Host","Summer","Other Transport","PTPRF_DANRE"
30.218792080795,1.63063564344234,0.483825972194518,3.37029373608484,0.000750880965146935,0.026446805944695,"Montipora_capitata_HIv3___RNAseq.g23464.t1","P97717","ADA1B_MOUSE",37.079,178,103,3,136,663,18,188,4.04e-26,108,696,514,76,"MEDIUM","Alpha-1B adrenergic receptor","SwissProt","Host","Summer","Other Transport","ADA1B_MOUSE"
215.393278439885,-0.700028330437462,0.209207728588267,-3.34609211218558,0.000819591642228722,0.0284334307713132,"Montipora_capitata_HIv3___RNAseq.g34072.t1","O75762","TRPA1_HUMAN",29.14,1081,705,23,898,4071,38,1080,3.13e-115,392,4170,1119,76,"LOW","Transient receptor potential cation channel subfamily A member 1","SwissProt","Host","Summer","Other Transport","TRPA1_HUMAN"
85.2520006480132,-2.33688026553966,0.699010558540783,-3.34312584693715,0.000828403221802237,0.02861024878885,"Montipora_capitata_HIv3___TS.g21895.t1","P08537","TBA_XENLA",94.805,77,4,0,1,231,1,77,2.96e-46,166,990,449,23,"LOW","Tubulin alpha chain","SwissProt","Host","Summer","Other Transport","TBA_XENLA"
857.63273305947,-0.668455876401874,0.200346031710784,-3.33650669640836,0.000848383848561424,0.0290829507730144,"Montipora_capitata_HIv3___RNAseq.g44719.t1","Q8NCC3","PAG15_HUMAN",42.037,383,205,6,112,1242,39,410,7.5e-106,322,1245,412,91,"HIGH","Lysosomal phospholipase A and acyltransferase","SwissProt","Host","Summer","Other Transport","PAG15_HUMAN"
30.1896517081192,4.49423739773612,1.35474628764758,3.31740152286376,0.000908589389466016,0.0306772587923891,"Montipora_capitata_HIv3___RNAseq.g13130.t1","Q4R9C4","G2E3_MACFA",24.927,341,236,11,1165,2169,357,683,2.1e-18,93.6,2217,706,45,"LOW","G2/M phase-specific E3 ubiquitin-protein ligase","SwissProt","Host","Summer","Other Transport","G2E3_MACFA"
300.96671379543,1.1420683636101,0.347681472924729,3.2848122564683,0.00102050347441097,0.0337804194502369,"Montipora_capitata_HIv3___RNAseq.g8867.t2","Q8VDP6","CDIPT_MOUSE",57.143,224,80,3,82,750,3,211,2.63e-82,248,762,213,88,"HIGH","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","SwissProt","Host","Summer","Other Transport","CDIPT_MOUSE"
