"organism","season","category","gene_id","log2FoldChange","padj","description"
"Symbiont","Winter","Other Transport","SCF082_s2419_g34880",-0.75976059558564,0.000648134826711435,"Alpha-N-acetylgalactosaminidase"
"Symbiont","Winter","Other Transport","SCF082_s597_g15701",0.758290330322948,0.00281209928447775,"Ephrin_rec_like domain-containing protein"
"Symbiont","Winter","Other Transport","SCF082_s93_g3967",0.663031879526464,0.0317465503628469,"Fructose-bisphosphate aldolase"
"Symbiont","Winter","Other Transport","SCF082_s2772_g37083",0.62080953463592,0.00271977951179678,"ABC transporter C family member 1"
"Symbiont","Winter","Other Transport","SCF082_s2258_g33722",0.601407760053117,0.0381862779060948,"Phenolphthiocerol/phthiocerol polyketide synthase subunit C"
"Symbiont","Winter","Other Transport","SCF082_s92_g3945",0.57554246288949,0.0259612133956725,"Fructose-bisphosphate aldolase"
"Symbiont","Winter","Other Transport","SCF082_s299_g9642",0.53097726695639,0.0229735716603468,"Probable outer membrane protein PmpA (Polymorphic membrane protein A)"
"Symbiont","Winter","Other Transport","SCF082_s326_g10224",0.52505267599977,0.0013716756788532,"Autophagy-related protein 18a"
"Symbiont","Winter","Other Transport","SCF082_s19_g925",0.520805152847818,0.0259612133956725,"MFS-type efflux pump MSMEG_3705"
"Symbiont","Winter","Other Transport","SCF082_s578_g15429",-0.4664275130288,0.0479268113080334,"Aromatic-amino-acid aminotransferase 1"
"Symbiont","Winter","Other Transport","SCF082_s28126_g52378",-0.399146392066149,0.0255829973271484,"Peridinin-chlorophyll a-binding protein, chloroplastic"
"Symbiont","Winter","Other Transport","SCF082_s163_g6099",-0.392440440546308,0.0417985503792601,"Photosystem II extrinsic protein U, chloroplastic"
"Symbiont","Winter","Other Transport","SCF082_s697_g17573",-0.376545321894978,0.0295215723261834,"Methyltransferase phqN"
"Symbiont","Winter","Other Transport","SCF082_s43423_g53489",-0.362375662001931,0.0447017535174554,"Glyceraldehyde-3-phosphate dehydrogenase, glycosomal"
"Symbiont","Winter","Other Transport","SCF082_s38480_g53257",-0.31152356524592,0.0287828568645636,"Fucoxanthin-chlorophyll a-c binding protein F, chloroplastic (Fragment)"
"Symbiont","Winter","Other Transport","SCF082_s20828_g51206",-0.296146645230988,0.0306457361196537,"Photosystem I reaction center subunit III"
"Symbiont","Winter","Other Transport","SCF082_s6009_g44918",-0.280456348947761,0.0321805732075659,"Peridinin-chlorophyll a-binding protein, chloroplastic"
"Symbiont","Winter","Other Transport","SCF082_s36642_g53145",-0.265333123886268,0.0437406830105868,"Elongation factor 1-alpha"
